id,run_length,disagreeable,training,improbability_rate,price,special_conditions,availability,start_time,end_time,workerid,phase,first_time,censored,other
91752,0,20,False,56,0.35,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-24 00:01:25,2014-11-24 00:01:25,A7TUG10LNB586,4,False,False,None
91753,0,100,False,93,0.15,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-20 20:27:15,2014-11-20 20:27:15,A35R9WNCA3Q1PN,1,False,False,None
91754,0,40,False,93,0.45,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-22 23:34:30,2014-11-22 23:34:30,AJ0RL2YCXZC25,3,False,False,None
91755,0,100,False,56,0.45,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-23 15:12:39,2014-11-23 15:12:39,AZ8KL6F16ZS7G,4,False,False,None
91756,18,0,False,56,0.45,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-22 22:50:33,2014-11-23 01:36:15,A32UQ97HXGNZE0,3,False,False,None
91757,9,40,False,56,0.2,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-21 17:15:27,2014-11-21 21:46:06,A2PWBFKI79IFXZ,2,False,False,None
91758,0,100,False,56,0.15,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-22 17:23:07,2014-11-22 17:23:07,A2UIGDOLX5RV95,3,False,False,None
91759,0,80,True,93,0.3,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-21 18:01:57,2014-11-21 18:01:57,A127IRK7LVV5NU,2,False,False,None
91760,2,100,False,56,0.5,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-24 00:09:26,2014-11-24 00:18:51,A1W899JHZVU6H2,4,True,False,None
91761,4,20,False,56,0.2,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-24 21:00:38,2014-11-24 22:06:03,AAL0GB148SZGL,5,False,False,None
91762,0,20,True,93,0.05,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-23 14:45:43,2014-11-23 14:45:43,A1WTQQMOXO40PW,4,False,False,None
91763,1,40,True,56,0.3,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-21 01:44:45,2014-11-21 01:44:47,A29MPFCNHYY93U,1,True,False,None
91764,1,40,False,56,0.45,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-20 20:48:58,2014-11-20 20:49:14,A29KO5TV8Q7HUC,1,True,False,None
91765,2,60,False,56,0.3,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-20 01:48:23,2014-11-20 01:52:54,A3F0NFNLOLFJT0,0,True,False,None
91766,1,40,False,93,0.15,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-24 08:32:33,2014-11-24 08:37:33,A140UM5BCUTVPQ,5,False,False,None
91767,1,20,True,56,0.25,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-23 20:52:52,2014-11-23 20:53:16,A07470353L7983ZPFPYV2,4,True,False,None
91768,2,40,False,93,0.1,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-21 09:04:28,2014-11-21 09:10:42,A39O1EXOXLUGFC,2,True,False,None
91769,23,20,False,93,0.2,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-23 17:40:29,2014-11-24 00:09:15,A1J2SQGWOID8SZ,4,False,False,None
91770,1,20,False,56,0.2,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-22 01:49:08,2014-11-22 01:58:06,A3F120UPB7ZYHI,2,True,False,None
91771,0,0,True,56,0.05,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-20 22:18:29,2014-11-20 22:18:29,A1FBO95OVBYOH1,1,False,False,None
91772,1,60,True,56,0.1,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-23 20:25:42,2014-11-23 20:26:25,AD368A1RHHRC3,4,True,False,None
91773,0,40,False,93,0.25,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-23 15:50:43,2014-11-23 15:50:43,A3PLYS1598Q69C,4,False,False,None
91774,1,0,True,93,0.25,False,low,2014-11-21 09:24:58,2014-11-21 09:25:13,A2J65ZHAJQDKAC,2,True,False,None
91775,2,0,False,93,0.05,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-22 00:05:01,2014-11-22 00:18:44,A334PDNV4876YN,2,True,False,None
91776,3,60,True,93,0.45,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-24 16:42:57,2014-11-24 18:14:01,A1HGH370WWDHKN,5,False,False,None
91777,3,20,False,56,0.1,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-21 17:05:50,2014-11-22 02:39:26,A2H78YO6DGK3C,2,False,False,None
91778,0,20,True,93,0.05,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-21 01:19:58,2014-11-21 01:19:58,ABYAJ5Y7UDAPP,1,False,False,None
91779,2,0,True,93,0.25,False,low,2014-11-20 02:40:27,2014-11-20 02:48:03,A2YIOCWN9618U4,0,True,False,None
91780,0,80,False,56,0.05,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-20 02:20:30,2014-11-20 02:20:30,A179VVX2QGAJK0,0,False,False,None
91781,0,40,False,93,0.5,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-24 00:45:57,2014-11-24 00:45:57,A100KJ2EG9OH1A,4,False,False,None
91782,0,0,True,93,0.25,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-23 11:07:51,2014-11-23 11:07:51,A4UVNGSXE2ANA,4,False,False,None
91783,1,80,False,93,0.15,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-22 16:57:43,2014-11-22 16:57:56,ATK9VBH7CFNX1,3,True,False,None
91784,0,20,True,56,0.05,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-24 16:40:37,2014-11-24 16:40:37,A2TYLR23CHRULH,5,False,False,None
91785,0,40,True,93,0.15,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-21 23:09:19,2014-11-21 23:09:19,A29B0AV5KSAUJC,2,False,False,None
91786,3,0,False,56,0.35,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-24 17:23:34,2014-11-24 17:29:16,A27RLAV3ZA0HPW,5,True,False,None
91787,1,60,True,93,0.15,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-20 18:01:57,2014-11-20 18:02:16,A1DAD6EHH6YBQW,1,True,False,None
91788,51,40,False,93,0.4,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-21 15:14:55,2014-11-22 05:35:55,A1DVQLUNK8NI11,2,True,True,None
91789,1,80,True,56,0.1,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-20 23:08:40,2014-11-20 23:08:49,A2251NUVA69G7E,1,True,False,None
91790,0,60,False,93,0.35,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-20 20:02:03,2014-11-20 20:02:03,A1J4BNCH0HIQ98,1,False,False,None
91791,1,80,False,56,0.15,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-23 14:02:47,2014-11-23 14:03:14,AVP73JTYHC3ER,4,True,False,None
91792,23,40,False,93,0.45,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-21 18:27:41,2014-11-21 22:11:23,A3MJU1HQHFM63R,2,False,False,None
91793,0,100,True,56,0.1,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-19 12:16:49,2014-11-19 12:16:49,A1TM1ZFU4OIPTD,0,False,False,None
91794,1,60,False,93,0.15,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-24 12:04:10,2014-11-25 03:37:54,A378E14BT458LA,5,False,False,None
91795,2,20,True,93,0.25,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-21 16:31:30,2014-11-21 16:35:25,A1FK01GE7K8DBU,2,True,False,None
91796,9,60,False,93,0.4,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-22 17:03:18,2014-11-22 18:07:15,AVVAAT33P7U3X,3,True,False,None
91797,9,20,False,93,0.25,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-24 00:35:34,2014-11-24 00:51:36,A3IWURES3U1NDB,4,True,False,None
91798,51,40,True,93,0.45,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-20 21:09:53,2014-11-21 04:21:12,A3DBD6XA885626,1,True,True,None
91799,1,20,True,56,0.45,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-24 22:45:51,2014-11-24 22:46:03,A1KCQGLDYHOUJL,5,True,False,None
91800,35,0,True,56,0.3,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-23 14:24:23,2014-11-24 04:46:13,A1P47Q6LZPLQ6P,4,False,False,None
91801,0,0,True,93,0.25,False,low,2014-11-23 21:27:29,2014-11-23 21:27:29,A255Z4U24Y2SP8,4,False,False,None
91802,0,60,False,93,0.2,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-21 12:23:45,2014-11-21 12:23:45,A3ELESR7USZ9YV,2,False,False,None
91803,0,20,True,93,0.25,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-21 00:17:19,2014-11-21 00:17:19,A1DEGAIUOTCP9P,1,False,False,None
91804,1,0,True,93,0.5,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-21 17:38:32,2014-11-21 17:38:39,A106IIYVGK9GQV,2,True,False,None
91805,1,0,True,93,0.25,False,low,2014-11-22 19:22:50,2014-11-22 20:02:44,A13H0TO7IXWK4L,3,True,False,None
91806,3,40,False,93,0.25,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-19 14:56:17,2014-11-19 15:05:04,A2J0FTQSYUMT9O,0,True,False,None
91807,3,20,False,93,0.35,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-24 17:16:56,2014-11-24 17:27:17,A39M84XT1D1QNF,5,True,False,None
91808,2,0,True,93,0.1,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-22 22:37:55,2014-11-22 22:57:22,A2TFAA0ZTTG7Q6,3,True,False,None
91809,0,60,True,56,0.5,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-25 06:41:53,2014-11-25 06:41:53,A9N7QYMG6KIHD,5,False,False,None
91810,0,0,True,93,0.25,False,low,2014-11-24 08:10:09,2014-11-24 08:10:09,AN7ZJTSOR3532,5,False,False,None
91811,1,0,True,93,0.35,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-19 13:24:50,2014-11-19 13:25:19,AYUBSG6FZ9DVU,0,True,False,None
91812,4,0,False,93,0.5,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-23 08:03:56,2014-11-24 05:36:49,A21Q0SMFKL90FH,4,False,False,None
